route,pre_mean,pandemic_mean,post_mean,drop_pct_from_pre_to_pandemic,recovery_pct_from_pandemic_to_post
Peak Service,281.2909836065574,129.2280178837556,188.52442671984048,54.058954813671804,45.88510278740307
Rapid Route,18089.385245901638,9314.75260804769,13457.074775672982,48.507080359969365,44.470554849158745
Light Rail,9525.053278688525,5128.685543964232,8011.3708873379865,46.15583352757493,56.20709865447462
Local Route,12762.319672131147,7911.208643815201,10517.715852442672,38.01120135635869,32.94701639129664
School,2699.967213114754,2138.005961251863,2411.839481555334,20.813632444617635,12.807893208264653
