route,avg_weekday,avg_weekend,weekday_vs_weekend_pct_diff
Peak Service,251.41386861313867,0.0,100.0
School,3293.729197080292,0.10948905109489052,99.99667583324118
Local Route,12755.348175182482,2731.5127737226276,78.5853530910492
Rapid Route,15297.27810218978,5847.051094890511,61.77717986277889
Light Rail,8355.815328467153,4294.523722627737,48.604372478208504
