ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-30,3342.9944963315634,-468.65914273478273,3355.8943186993492,3342.9944963315634,3342.9944963315634,-1924.6262924625828,-1924.6262924625828,-1924.6262924625828,-743.43482432,-743.43482432,-743.43482432,659.879468618214,659.879468618214,659.879468618214,-1841.070936760797,-1841.070936760797,-1841.070936760797,0.0,0.0,0.0,1418.3682038689806
2024-10-01,3343.481499240565,-48.31197848891174,3805.1884432333627,3343.481499240565,3343.481499240565,-1501.1380382081275,-1501.1380382081275,-1501.1380382081275,-743.43482432,-743.43482432,-743.43482432,1100.4567738998223,1100.4567738998223,1100.4567738998223,-1858.15998778795,-1858.15998778795,-1858.15998778795,0.0,0.0,0.0,1842.3434610324375
2024-10-02,3343.9685021495666,-17.277221035102023,3818.0534915090534,3343.9685021495666,3343.9685021495666,-1441.2397052753204,-1441.2397052753204,-1441.2397052753204,-743.43482432,-743.43482432,-743.43482432,1151.0577714856506,1151.0577714856506,1151.0577714856506,-1848.8626524409715,-1848.8626524409715,-1848.8626524409715,0.0,0.0,0.0,1902.7287968742462
2024-10-03,3344.455505058568,-119.94589648697233,3695.462498701501,3344.455505058568,3344.455505058568,-1539.473556773195,-1539.473556773195,-1539.473556773195,-743.43482432,-743.43482432,-743.43482432,1017.362671879796,1017.362671879796,1017.362671879796,-1813.4014043329914,-1813.4014043329914,-1813.4014043329914,0.0,0.0,0.0,1804.9819482853732
2024-10-04,3344.9425079675693,-338.7057644985365,3403.4758924299313,3344.9425079675693,3344.9425079675693,-1722.2303031486856,-1722.2303031486856,-1722.2303031486856,-743.43482432,-743.43482432,-743.43482432,773.7201427111129,773.7201427111129,773.7201427111129,-1752.5156215397985,-1752.5156215397985,-1752.5156215397985,0.0,0.0,0.0,1622.7122048188837
2024-10-05,3345.429510876571,-3276.040553612462,457.70230789495565,3345.429510876571,3345.429510876571,-4762.2598694522785,-4762.2598694522785,-4762.2598694522785,-743.43482432,-743.43482432,-743.43482432,-2351.384357917445,-2351.384357917445,-2351.384357917445,-1667.4406872148331,-1667.4406872148331,-1667.4406872148331,0.0,0.0,0.0,-1416.8303585757076
2024-10-06,3345.9165137855725,-3283.7973622963646,677.172937533966,3345.9165137855725,3345.9165137855725,-4654.402880487999,-4654.402880487999,-4654.402880487999,-743.43482432,-743.43482432,-743.43482432,-2351.0924706825244,-2351.0924706825244,-2351.0924706825244,-1559.875585485473,-1559.875585485473,-1559.875585485473,0.0,0.0,0.0,-1308.4863667024265
