ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-30,14571.75169466575,8668.458379084506,17768.34469808922,14571.75169466575,14571.75169466575,-1120.8500912502518,-1120.8500912502518,-1120.8500912502518,210.6135032976,210.6135032976,210.6135032976,1248.113404958579,1248.113404958579,1248.113404958579,-2579.5769995064306,-2579.5769995064306,-2579.5769995064306,0.0,0.0,0.0,13450.9016034155
2024-10-01,14571.198784816132,10894.280424087354,19781.597058790117,14571.198784816132,14571.198784816132,985.9528479941578,985.9528479941578,985.9528479941578,210.6135032976,210.6135032976,210.6135032976,3343.6001215296683,3343.6001215296683,3343.6001215296683,-2568.2607768331104,-2568.2607768331104,-2568.2607768331104,0.0,0.0,0.0,15557.15163281029
2024-10-02,14570.645874966507,11273.808472634933,20207.51582506914,14570.645874966507,14570.645874966507,1072.6419237233176,1072.6419237233176,1072.6419237233176,210.6135032976,210.6135032976,210.6135032976,3394.049414270364,3394.049414270364,3394.049414270364,-2532.0209938446465,-2532.0209938446465,-2532.0209938446465,0.0,0.0,0.0,15643.287798689824
2024-10-03,14570.092965116888,11465.176018443315,20251.932417622294,14570.092965116888,14570.092965116888,882.9347434225374,882.9347434225374,882.9347434225374,210.6135032976,210.6135032976,210.6135032976,3142.9378504417896,3142.9378504417896,3142.9378504417896,-2470.6166103168525,-2470.6166103168525,-2470.6166103168525,0.0,0.0,0.0,15453.027708539426
2024-10-04,14569.540055267267,10170.593573542652,19406.359547335116,14569.540055267267,14569.540055267267,175.8763082510735,175.8763082510735,175.8763082510735,210.6135032976,210.6135032976,210.6135032976,2349.538138734134,2349.538138734134,2349.538138734134,-2384.2753337806603,-2384.2753337806603,-2384.2753337806603,0.0,0.0,0.0,14745.416363518341
2024-10-05,14568.987145417646,2213.882394973799,11416.513809325044,14568.987145417646,14568.987145417646,-8010.640856758604,-8010.640856758604,-8010.640856758604,210.6135032976,210.6135032976,210.6135032976,-5947.557379014392,-5947.557379014392,-5947.557379014392,-2273.6969810418123,-2273.6969810418123,-2273.6969810418123,0.0,0.0,0.0,6558.346288659042
2024-10-06,14568.434235568024,376.52699576959645,9623.901563118263,14568.434235568024,14568.434235568024,-9460.114672162441,-9460.114672162441,-9460.114672162441,210.6135032976,210.6135032976,210.6135032976,-7530.6815509379985,-7530.6815509379985,-7530.6815509379985,-2140.0466245220423,-2140.0466245220423,-2140.0466245220423,0.0,0.0,0.0,5108.319563405583
