ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-30,13063.66794497725,6503.306490801661,14487.681385106138,13063.66794497725,13063.66794497725,-2483.6151980429586,-2483.6151980429586,-2483.6151980429586,-1038.80274792,-1038.80274792,-1038.80274792,1545.9783931840398,1545.9783931840398,1545.9783931840398,-2990.7908433069983,-2990.7908433069983,-2990.7908433069983,0.0,0.0,0.0,10580.05274693429
2024-10-01,13065.831510398639,8460.436728783508,16532.926942532697,13065.831510398639,13065.831510398639,-689.9291580462556,-689.9291580462556,-689.9291580462556,-1038.80274792,-1038.80274792,-1038.80274792,3346.878374323643,3346.878374323643,3346.878374323643,-2998.0047844498986,-2998.0047844498986,-2998.0047844498986,0.0,0.0,0.0,12375.902352352383
2024-10-02,13067.995075820028,8853.63520306838,16683.27779943465,13067.995075820028,13067.995075820028,-526.999716713192,-526.999716713192,-526.999716713192,-1038.80274792,-1038.80274792,-1038.80274792,3484.807878180787,3484.807878180787,3484.807878180787,-2973.0048469739786,-2973.0048469739786,-2973.0048469739786,0.0,0.0,0.0,12540.995359106837
2024-10-03,13070.158641241422,8476.639386787627,16426.28847876482,13070.158641241422,13070.158641241422,-678.9033766965229,-678.9033766965229,-678.9033766965229,-1038.80274792,-1038.80274792,-1038.80274792,3275.430697559397,3275.430697559397,3275.430697559397,-2915.53132633592,-2915.53132633592,-2915.53132633592,0.0,0.0,0.0,12391.2552645449
2024-10-04,13072.32220666281,8264.435702800103,15718.024574745768,13072.32220666281,13072.32220666281,-1209.856590999414,-1209.856590999414,-1209.856590999414,-1038.80274792,-1038.80274792,-1038.80274792,2654.8657613342334,2654.8657613342334,2654.8657613342334,-2825.919604413647,-2825.919604413647,-2825.919604413647,0.0,0.0,0.0,11862.465615663396
2024-10-05,13074.485772084201,-989.8234842924195,6707.98980296822,13074.485772084201,13074.485772084201,-10359.343817325562,-10359.343817325562,-10359.343817325562,-1038.80274792,-1038.80274792,-1038.80274792,-6615.442812921324,-6615.442812921324,-6615.442812921324,-2705.098256484238,-2705.098256484238,-2705.098256484238,0.0,0.0,0.0,2715.1419547586393
2024-10-06,13076.64933750559,-1988.9101287834524,6061.042186007572,13076.64933750559,13076.64933750559,-11285.895455480742,-11285.895455480742,-11285.895455480742,-1038.80274792,-1038.80274792,-1038.80274792,-7692.518291679156,-7692.518291679156,-7692.518291679156,-2554.574415881588,-2554.574415881588,-2554.574415881588,0.0,0.0,0.0,1790.7538820248483
