ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-30,255.7827129919121,130.5290085888281,339.2725378607145,255.7827129919121,255.7827129919121,-31.058746531493856,-31.058746531493856,-31.058746531493856,-40.959154840800004,-40.959154840800004,-40.959154840800004,55.799751759459475,55.799751759459475,55.799751759459475,-45.899343450153324,-45.899343450153324,-45.899343450153324,0.0,0.0,0.0,224.72396646041824
2024-10-01,255.74903046385015,171.7998909462624,375.21604092613825,255.74903046385015,255.74903046385015,14.42430324612043,14.42430324612043,14.42430324612043,-40.959154840800004,-40.959154840800004,-40.959154840800004,101.95033598393044,101.95033598393044,101.95033598393044,-46.566877897010016,-46.566877897010016,-46.566877897010016,0.0,0.0,0.0,270.17333370997056
2024-10-02,255.71534793578826,169.23756668929315,370.6711451303384,255.71534793578826,255.71534793578826,14.23635575122909,14.23635575122909,14.23635575122909,-40.959154840800004,-40.959154840800004,-40.959154840800004,102.06805894799746,102.06805894799746,102.06805894799746,-46.872548355968355,-46.872548355968355,-46.872548355968355,0.0,0.0,0.0,269.95170368701736
2024-10-03,255.68166540772634,144.46410782943923,346.38182499200167,255.68166540772634,255.68166540772634,-12.271823060700587,-12.271823060700587,-12.271823060700587,-40.959154840800004,-40.959154840800004,-40.959154840800004,75.47802876602793,75.47802876602793,75.47802876602793,-46.79069698592852,-46.79069698592852,-46.79069698592852,0.0,0.0,0.0,243.40984234702574
2024-10-04,255.64798287966445,84.50823291356413,288.85163663583086,255.64798287966445,255.64798287966445,-63.887778432733434,-63.887778432733434,-63.887778432733434,-40.959154840800004,-40.959154840800004,-40.959154840800004,23.37326388037641,23.37326388037641,23.37326388037641,-46.301887472309836,-46.301887472309836,-46.301887472309836,0.0,0.0,0.0,191.76020444693103
2024-10-05,255.61430035160257,-116.79844160549193,92.73689086922496,255.61430035160257,255.61430035160257,-265.7359297176041,-265.7359297176041,-265.7359297176041,-40.959154840800004,-40.959154840800004,-40.959154840800004,-179.38320220771328,-179.38320220771328,-179.38320220771328,-45.39357266909082,-45.39357266909082,-45.39357266909082,0.0,0.0,0.0,-10.121629366001542
2024-10-06,255.58061782354062,-118.00412253105343,90.13526303492397,255.58061782354062,255.58061782354062,-264.30602265417133,-264.30602265417133,-264.30602265417133,-40.959154840800004,-40.959154840800004,-40.959154840800004,-179.2862371304248,-179.2862371304248,-179.2862371304248,-44.06063068294653,-44.06063068294653,-44.06063068294653,0.0,0.0,0.0,-8.725404830630708
